"Binomial.1.2","pre_domestic_name","Order.1.2","Family.1.2","IUCN.Status.1.2","Island.Endemicity","Mass.g","LogMassKg","guild","GuildSimple","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat_median","Fermentation.Type","Inferred.Fermentation.Type","Inferred.Fermentation.Efficiency","Foot.Type","Substrate.Aquatic","Substrate.Terrestrial","Substrate.Arboreal","Substrate.Cat"
"Budorcas_taxicolor",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",302000,2.480006943,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_aegagrus",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",33500,1.525044807,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_caucasica",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",55000,1.740362689,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_cylindricornis",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",50000,1.698970004,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_falconeri",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",41000,1.612783857,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_hircus","Capra_aegagrus","Cetartiodactyla","Bovidae","Post-domestic",NA,47386.47,1.675654358,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_ibex",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",85166.5,1.9302688,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_nubiana",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",62624.8,1.796746352,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_pyrenaica",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",50000,1.698970004,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_sibirica",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",130000,2.113943352,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capra_walie",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",1e+05,2,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capricornis_crispus",NA,"Cetartiodactyla","Bovidae","LC","Occurs only on isolated islands",37160,1.570075705,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capricornis_milneedwardsii",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",130000,2.113943352,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capricornis_rubidus",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",87500,1.942008053,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capricornis_sumatraensis",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",87500,1.942008053,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capricornis_swinhoei",NA,"Cetartiodactyla","Bovidae","LC","Occurs on large land bridge islands",21000,1.322219295,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Capricornis_thar",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",112500,2.051152522,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"CapriniGen_spA",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",61064.4,1.785788094,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_callipygus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",18249.9,1.261260489,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_dorsalis",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",20000,1.301029996,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_harveyi",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",14500.1,1.161370997,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_jentinki",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",70000.3,1.845099901,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_leucogaster",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",12699.9,1.103800301,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_natalensis",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",12000,1.079181246,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_niger",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",20400,1.309630167,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_nigrifrons",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",13899.8,1.143008551,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_ogilbyi",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",20000,1.301029996,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_rufilatus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",12000,1.079181246,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_silvicultor",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",72500.3,1.860339804,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_spadix",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",56000.3,1.748190354,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_weynsi",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",17000,1.230448921,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Cephalophus_zebra",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",17500.1,1.24304053,"browser","browser",0,3,1,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Connochaetes_gnou",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",179999,2.255270092,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Connochaetes_taurinus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",179999,2.255270092,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Damaliscus_hypsodon",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",63000,1.799340549,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Damaliscus_lunatus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",136000.3,2.133539866,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Damaliscus_niro",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",97612.7,1.989506326,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Damaliscus_pygargus",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",102000,2.008600172,"grazer","grazer",3,0,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Dorcatragus_megalotis",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",10249.9,1.010719628,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Euceratherium_collinum",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",450000,2.653212514,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Eudorcas_albonotata",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",25000,1.397940009,"mixed feeder","mixed feeder",3,2,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Eudorcas_rufifrons",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",26999.8,1.431360547,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Eudorcas_thomsonii",NA,"Cetartiodactyla","Bovidae","NT","Occurs on mainland",20499.8,1.311749624,"grazer","grazer",3,1,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_atlantica",NA,"Cetartiodactyla","Bovidae","EP","Occurs on mainland",44500,1.648360011,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_bennettii",NA,"Cetartiodactyla","Bovidae","LC","Occurs on mainland",18916.7,1.276845376,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_bilkis",NA,"Cetartiodactyla","Bovidae","EX","Occurs on mainland",48500,1.685741739,"browser","browser",0,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_cuvieri",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",25000,1.397940009,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_dorcas",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",23000.1,1.361729724,"browser","browser",1,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_gazella",NA,"Cetartiodactyla","Bovidae","VU","Occurs on mainland",22749.9,1.356979492,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
"Gazella_leptoceros",NA,"Cetartiodactyla","Bovidae","EN","Occurs on mainland",22200,1.346352974,"mixed feeder","mixed feeder",3,3,0,"Foregut Ruminating","Foregut Ruminating",3,"Unguligrade",0,1,0,"terrestrial"
