Binomial,Common.Name,Species.Status,Class,Order,Family,Water.Dependence,Water.Dependence.Method,Water.Dependence.Reliability,Water.Dependence.Notes,Water.Dependence.Reference,Scratch.Digging,Well.Digging,Burrowing,Rooting,Digging.Rooting.Methods,Digging.Rooting.Method.Reliability,Digging.Rooting.Notes,Digging.Rooting.Reference
Aepyornis hildebrandti,Hildebrandt's Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Aepyornis maximus,Giant Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Mullerornis modestus,Robust Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Vorombe titan,Titan Elephant Bird,Extinct before 1500 CE,Aves,Aepyornithiformes,Aepyornithidae,,,,,,,,,,,,,
Cnemiornis calcitrans,South Island Goose,Extinct before 1500 CE,Aves,Anseriformes,Anatidae,,,,,,,,,,,,,
Cnemiornis gracilis,North Island Goose,Extinct before 1500 CE,Aves,Anseriformes,Anatidae,,,,,,,,,,,,,
Cygnus buccinator,Trumpeter Swan,Extant,Aves,Anseriformes,Anatidae,High,Inferred from habitat affinities,0,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Squires and Anderson 1995 American Midland Naturalist; All About Birds 2020 Cornell Lab of Ornithology; Birds of the World 2020 Cornell Lab of Ornithology,,,,,,,,
Cygnus falconeri,Maltese Swan,Extinct before 1500 CE,Aves,Anseriformes,Anatidae,High,Inferred from habitat affinities,0,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Alcover 2000 Tropics,,,,,,,,
Cygnus olor,Mute Swan,Extant,Aves,Anseriformes,Anatidae,High,Inferred from habitat affinities,2,"Inferring free water dependence from habitat affinities. Confidence is low, given low confidence for habitat affinities themselves.",Bailey et al. 2008 The Journal of Wildlife Management; All About Birds 2020 Cornell Lab of Ornithology; Birds of the World 2020 Cornell Lab of Ornithology,,,,,,,,
Natunaornis gigoura,Viti Levu Giant Pigeon,Extinct before 1500 CE,Aves,Columbiformes,Columbidae,,,,,,,,,,,,,
Pezophaps solitaria,Rodrigues Solitaire,Extinct before 1500 CE,Aves,Columbiformes,Columbidae,,,,,,,,,,,,,
Raphus cucullatus,Dodo,Extinct before 1500 CE,Aves,Columbiformes,Columbidae,,,,,,,,,,,,,
Dinornis novaezealandiae,North Island Giant Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Dinornithidae,,,,,,,,,,,,,
Dinornis robustus,South Island Giant Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Dinornithidae,,,,,,,,,,,,,
Anomalopteryx didiformis,Bush Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Emeus crassus,Eastern Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Euryapteryx curtus,Coastal Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Pachyornis australis,Crested Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Pachyornis elephantopus,Heavy-Footed Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Pachyornis geranoides,Mantell's Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Emeidae,,,,,,,,,,,,,
Megalapteryx didinus,Upland Moa,Extinct before 1500 CE,Aves,Dinornithiformes,Megalapterygidae,,,,,,,,,,,,,
Genyornis newtoni,Flightless Mihirung,Extinct before 1500 CE,Aves,Gastornithiformes,Dromornithidae,Low,Expert opinion,0,Miharungs apparently had salt glands (although evidence of how this is determined is unclear). This suggests an adaptation to drinking saline waters in arid environments.,Murray and Vickers-Rich 2004 Magnificent mihirungs: the colossal flightless birds of the Australian dreamtime,,,,,,,,
Sylviornis neocaledoniae,New Caledonian Giant Scrubfowl,Extinct before 1500 CE,Aves,Pangalliformes,Sylviornithidae,,,,,,,,,,,,,
Dromaius baudinianus,Kangaroo Island Emu,Extinct after 1500 CE,Aves,Struthiniformes,Casuariidae,,,,,,,,,,,,,
Dromaius minor,King Island Emu,Extinct after 1500 CE,Aves,Struthiniformes,Casuariidae,,,,,,,,,,,,,
Dromaius novaehollandiae,Emu,Extant,Aves,Struthiniformes,Casuariidae,,,,,,,,,,,,,
Rhea americana,Greater Rhea,Extant,Aves,Struthiniformes,Rheidae,,,,,,,,,,,,,
Rhea pennata,Lesser Rhea,Extant,Aves,Struthiniformes,Rheidae,,,,,,,,,,,,,
Casuarius bennetti,Dwarf Cassowary,Extant,Aves,Struthioniformes,Casuariidae,,,,,,,,,,,,,
Casuarius casuarius,Southern Cassowary,Extant,Aves,Struthioniformes,Casuariidae,,,,,,,,,,,,,
Casuarius unappendiculatus,Northern Cassowary,Extant,Aves,Struthioniformes,Casuariidae,,,,,,,,,,,,,
Struthio asiaticus,Asian Ostrich,Extinct before 1500 CE,Aves,Struthioniformes,Struthionidae,,,,,,,,,,,,,
Struthio camelus,Ostrich,Extant,Aves,Struthioniformes,Struthionidae,,,,,,,,,,,,,
Struthio molybdophanes,Somali ostrich,Extant,Aves,Struthioniformes,Struthionidae,,,,,,,,,,,,,
Ailuropoda melanoleuca,Giant Panda,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging; Functional morphology,3,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Arctotherium tarijense,Short-faced bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Arctotherium wingei,Short-faced bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Tremarctos floridanus,Florida spectacled bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Tremarctos ornatus,Spectacled Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Ursus americanus,American Black Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging,3,"American black bears will dig for underground plant parts and cicada nymphs (Lundgren et al. In Preparation). Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Lundgren et al. In Preparation; Hatley and Kappelman 1980 Human Ecology
Ursus arctos,Brown Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging,3,"Grizzlies and likely most brown bears dig for underground plant parts, with profound influences on soil mineralization rates, and plant communities (Tardiff and Stanford 1998). Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Tardiff and Stanford 1998 Ecology; Hatley and Kappelman 1980 Human Ecology
Ursus spelaeus,Cave bear,Extinct before 1500 CE,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Functional morphology,1,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Ursus thibetanus,Asiatic Black Bear,Extant,Mammalia,Carnivora,Ursidae,,,,,,1,,,,Observed digging,3,"Bears are highly adapted for scratch digging to eat underground plant parts and invertebrates. Indeed, they are considered in some ways ecologically parallel to rooting pigs.",Hatley and Kappelman 1980 Human Ecology
Antilocapra americana,Pronghorn,Extant,Mammalia,Cetartiodactyla,Antilocapridae,Low,Observed water usage,3,"There has been substantial debate about whether pronghorn (particularly those in the hot deserts of North America) require surface water. Evidence suggests that they do. However, like other species, this is likely contingent upon demographics, with lactating females requiring surface water more than non-lactating adults. Overall, water availability has been shown to increase population growth rates and persistence, but some populations exist in hyper-arid deserts without (known) surface water.",Harveson 2006 Pronghorn Symposium; Tluczek 2012 Thesis; Morgart et al. 2005 Wildlife Society Bulletin,,,,,,,,
Capromeryx minor,Dwarf pronghorn,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Antilocapridae,,,,,,,,,,,,,
Stockoceros conklingi,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Antilocapridae,,,,,,,,,,,,,
Tetrameryx shuleri,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Antilocapridae,,,,,,,,,,,,,
Addax nasomaculatus,Addax,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,,"Grazers of harsh deserts, subsisting on desert grasses. Will consume forbs and shrubs during drought, and relishes on bitter melon for water content. Can survive years without drinking water, if forage is of sufficient quality.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hummel et al. 2008 Comparative Biochemistry and Physiology; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Aepyceros melampus,Impala,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Alcelaphus buselaphus,Hartebeest,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Ammodorcas clarkei,Dibatag,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Ammotragus lervia,Aoudad,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Antidorcas australis,Fossil springbok,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Antidorcas bondi,Fossil springbok,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Antidorcas marsupialis,Springbok,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,"Described as avoiding areas with water, potentially to avoid ticks carried in tall grass. Short grass specialists.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Antilope cervicapra,Blackbuck,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Arabitragus jayakari,Arabian Tahr,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Beatragus hunteri,Hirola,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bison bison,American Bison,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bison bonasus,European Bison,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bootherium bombifrons,Harlan's muskox; helmeted muskox; bonnet-headed muskox,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bos gaurus,Gaur,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,Gaur are described as free water dependent.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Sankar et al. 2013 Tropical Conservation Science,,,,,,,,
Bos javanicus,Banteng,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,Banteng are described as requiring free water daily.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Steinmetz 2004 Mammalia,,,,,,,,
Bos mutus,Wild Yak,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bos primigenius,Aurochs,Extinct after 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bos primigenius taurus,Cow,"Extinct after 1500 CE, but wild in introduced range",Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bos sauveli,Kouprey,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Boselaphus tragocamelus,Nilgai,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Expert opinion,1,"Nilgai distributions are described as being coupled with water availability. I could not find empirical evidence that would distinguish between Low and High water dependence. Given their semi-arid to arid habitats, I imagine they are more free water independent than other more mesic species, but scoring as High to be conservative.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Leslie 2008 Mammalian Species,,,,,,,,
Bubalus arnee,Wild water buffalo,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,Water buffalo are closely associated with aquatic habitats. It is highly unlikely that they are free water independent.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; IUCN Redlist 2018; Choudhury 1994 Oryx,,,,,,,,
Bubalus arnee bubalis,Domestic water buffalo,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,Water buffalo are closely associated with aquatic habitats. It is highly unlikely that they are free water independent.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; IUCN Redlist 2018,,,,,,,,
Bubalus depressicornis,Lowland Anoa,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,"Given this species aquatic habitat affinities, we are inferring water dependence.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Bubalus grovesi,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,"Given this species aquatic habitat affinities, we are inferring water dependence.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Bubalus mindorensis,Tamaraw,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Bubalus palaeokerabau,Long-horned Javan water buffalo,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,"Given this species aquatic habitat affinities, we are inferring water dependence.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; Pacini and Harper 2008 Tropical stream ecology,,,,,,,,
Bubalus quarlesi,Mountain Anoa,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Budorcas taxicolor,Takin,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra aegagrus,Wild Goat,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra aegagrus hircus,Domestic goat,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra caucasica,Western Tur,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra cylindricornis,Eastern Tur,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra falconeri,Markhor,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra ibex,Alpine ibex,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra nubiana,Nubian Ibex,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra pyrenaica,Iberian Wild Goat; Spanish Ibex,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra sibirica,Siberian Ibex,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capra walie,Walia Ibex,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capricornis crispus,Japanese Serow,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capricornis milneedwardsii,Chinese Serow,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capricornis rubidus,Red Serow,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capricornis sumatraensis,Sumatran Serow,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capricornis swinhoei,Formosan Serow,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Capricornis thar,Himalayan Serow,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
CapriniGen spA,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus callipygus,Peters' Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus dorsalis,Bay Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,"Described by Hempson et al. 2015, from Kingdon and Wilson and Mittermeier, as being free water independent, which is surprising given their habitat in lowland rainforest.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Cephalophus harveyi,Harvey's Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,"Denizens of drier forests than other duikers, but often in proximity to water. Thus inferring water dependence.",Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Cephalophus jentinki,Jentink's Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus leucogaster,White-bellied Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus natalensis,Natal Red Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,"Described by Hempson et al. 2015, from Kingdon and Wilson and Mittermeier, as being free water independent, which is surprising given their habitat in lowland rainforest.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Cephalophus niger,Black Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus nigrifrons,Black-fronted Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,"Black-fronted duikers inhabit swampy, water-logged habitats along streams. Almost certainly free water dependent, given this habitat affinity.",Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Cephalophus ogilbyi,Ogilby's Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus rufilatus,Red-flanked Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,This species prefers dense vegetation close to perennial sources of water. Inferring water dependence.,Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Cephalophus silvicultor,Yellow-backed Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,"Described by Hempson et al. 2015, from Kingdon and Wilson and Mittermeier, as being free water independent, which is surprising given their habitat in lowland rainforest.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Cephalophus spadix,Abbott's Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus weynsi,Weyns's Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Cephalophus zebra,Zebra Duiker,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Connochaetes gnou,Black Wildebeest,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Connochaetes taurinus,Common Wildebeest,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Damaliscus hypsodon,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Damaliscus lunatus,Topi,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Damaliscus niro,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Damaliscus pygargus,Blesbok,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,This species is usually in the vicinity of water and is described as free water dependent by Hempson et al. 2015.,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Dorcatragus megalotis,Beira,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Euceratherium collinum,Shrub-ox,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Eudorcas albonotata,Mongalla Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Eudorcas rufifrons,Red-fronted Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Eudorcas thomsonii,Thomson's Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,Low,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Gazella atlantica,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella bennettii,Chinkara,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella bilkis,Queen of Sheba's Gazelle,Extinct after 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella cuvieri,Cuvier's Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella dorcas,Dorcas Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed foraging,3,"Dorcas gazelles do not require surface water, however, analysis of their habitat use in the Negev Desert of Israel shows a positive association with access to perennial surface water. This suggests they prefer water, but will go without if necessary.",Henley et al. 2007 Journal of Arid Environments,,,,,,,,
Gazella gazella,Mountain Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed foraging,3,May dig for succulent underground plant parts when water is unavailable.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Gazella leptoceros,Slender-horned Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella marica,Arabian Sand Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed foraging,3,"Arabian sand gazelles are desert generalists, eating a variety of chenopods, grasses, and getting water from bitter wild melons. Can survive for long periods without drinking water.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Schulz et al. 2013 Mammalian Biology,,,,,,,,
Gazella saudiya,Saudi Gazelle,Extinct after 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella spekei,Speke's Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella subgutturosa,Goitered Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Gazella tingitana,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Hemitragus cedrensis,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Hemitragus jemlahicus,Himalayan Tahr,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Hippotragus equinus,Roan Antelope,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Hippotragus leucophaeus,Bluebuck,Extinct after 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Hippotragus niger,Sable Antelope,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Kobus ellipsiprymnus,Waterbuck,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,"A denizen of wetland habitats. Described as free water dependent by Hempson et al., and his sources.",Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Kobus kob,Kob,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Kobus leche,Southern Lechwe,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,A denizen of aquatic and semi-aquatic habitats. Inferring water dependence.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Kobus megaceros,Nile Lechwe,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,A denizen of aquatic and semi-aquatic habitats. Inferring water dependence.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Kobus vardonii,Puku,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,A denizen of aquatic and semi-aquatic habitats. Inferring water dependence.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa,,,,,,,,
Litocranius walleri,Gerenuk,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Megalotragus priscus,Megalotragus,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Megalovis guangxiensis,,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Myotragus balearicus,Myotragus balearicus,Extinct before 1500 CE,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Naemorhedus baileyi,Red Goral,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Naemorhedus caudatus,Long-tailed Goral,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Naemorhedus goral,Himalayan Goral,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Naemorhedus griseus,Chinese Goral,Extant,Mammalia,Cetartiodactyla,Bovidae,High,Inferred from habitat affinities,2,This species habitat is closely linked to surface water. Inferring water dependence.,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Nanger dama,Dama Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
Nanger granti,Grant's Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,None,Observed water usage,3,,Hempson et al. 2015 Science; Kingdon et al. 2013 Mammals of Africa; Wilson and Mittermeier 2011 Handbook of the Mammals of the World,,,,,,,,
Nanger soemmerringii,Soemmerring's Gazelle,Extant,Mammalia,Cetartiodactyla,Bovidae,,,,,,,,,,,,,
